V_0	V_1	V_2	
0.000872054	-0.00376697	-0.00101833	
0.000914016	-0.0037467	-0.00103401	
0.000974523	-0.00371887	-0.00104192	
0.000897552	-0.00378172	-0.00105291	
0.000893986	-0.00373641	-0.00100062	
0.000899335	-0.00373445	-0.000965912	
0.000863733	-0.00376852	-0.00100383	
0.000925963	-0.00374354	-0.00103205	
0.000931312	-0.00369503	-0.00100454	
0.000908191	-0.00371548	-0.0010213	
0.00086932	-0.00374919	-0.000976906	
0.000832647	-0.00376531	-0.00107627	
0.000814995	-0.00373498	-0.00108589	
0.000897671	-0.00375496	-0.00105416	
0.000950986	-0.00367279	-0.00107538	
0.000878414	-0.00373243	-0.00100109	
0.000863911	-0.00369687	-0.00105107	
0.000824207	-0.00370906	-0.0010443	
0.000882039	-0.00379117	-0.00102474	
0.000829854	-0.00372386	-0.00105131	
0.000866586	-0.0036518	-0.00105184	
0.000891133	-0.00372767	-0.00106557	
0.000919009	-0.00372571	-0.00102581	
0.000909856	-0.00371822	-0.00103229	
0.000871222	-0.00372589	-0.00109392	
0.0008588	-0.00380271	-0.00107484	
0.000869736	-0.00373599	-0.00109516	
0.000957345	-0.00371061	-0.00103348	
0.000865813	-0.00373706	-0.00107591	
0.000877938	-0.00373605	-0.00106129	
0.000869795	-0.0037043	-0.00106402	
0.000849587	-0.00371667	-0.00105345	
0.000888042	-0.00367963	-0.00107579	
0.000931788	-0.00375996	-0.0011395	
0.000932085	-0.0038052	-0.00109505	
0.000942249	-0.00378142	-0.00107234	
0.0008777	-0.00373183	-0.00108257	
0.000873362	-0.00371619	-0.00099307	
0.000900465	-0.00376091	-0.00105107	
0.000922159	-0.00366732	-0.00102439	
0.000984746	-0.00373617	-0.00100805	
0.000942367	-0.0037461	-0.00104667	
0.000899038	-0.00377274	-0.00106456	
0.000931134	-0.00376858	-0.00103776	
0.000913541	-0.0037524	-0.00107894	
0.000854461	-0.00371352	-0.00105511	
0.000882039	-0.00373802	-0.000997646	
0.000888577	-0.00374408	-0.00104626	
0.000913897	-0.00373302	-0.00109178	
0.000897731	-0.00374783	-0.00107591	
0.000844654	-0.0037307	-0.00106539	
0.000884536	-0.00380937	-0.00110277	
0.00082712	-0.00368991	-0.00108726	
0.000848339	-0.00374111	-0.00105565	
0.000926557	-0.00375764	-0.00106004	
0.000846377	-0.00378748	-0.00103158	
0.000862425	-0.00372559	-0.00102195	
0.000845367	-0.00371328	-0.00106361	
0.000819571	-0.00372214	-0.00101185	
0.000893451	-0.00372529	-0.00103669	
0.000840612	-0.00374152	-0.00105357	
0.000855709	-0.00378255	-0.00110325	
0.000831043	-0.00371411	-0.00111555	
0.000869974	-0.00372636	-0.00105398	
0.000890895	-0.00370186	-0.00106943	
0.000887805	-0.00375056	-0.00103728	
0.000901237	-0.00370793	-0.0010894	
0.0009347	-0.0036826	-0.00103663	
0.00093785	-0.00373623	-0.00102641	
0.000866883	-0.00376424	-0.00103609	
0.000843643	-0.00375496	-0.00104566	
0.000851786	-0.00374069	-0.00104649	
0.000887686	-0.00378552	-0.00108482	
0.000911044	-0.00375246	-0.00107686	
0.000919663	-0.0037546	-0.00108625	
0.000950213	-0.00375686	-0.00111121	
0.000902426	-0.00375252	-0.00104887	
0.000856184	-0.00378421	-0.00110176	
0.000926736	-0.00373897	-0.00106616	
0.000848458	-0.00375157	-0.00107074	
0.000824802	-0.00368141	-0.00108869	
0.0008566	-0.00372541	-0.00105642	
0.000798709	-0.00371851	-0.00101286	
0.000843049	-0.00375336	-0.0010664	
0.000810775	-0.00368462	-0.00107496	
0.000830983	-0.00376251	-0.0010601	
0.000843406	-0.00373225	-0.0010645	
0.000872351	-0.0037131	-0.0010853	
0.000864327	-0.00371203	-0.00107246	
0.000862306	-0.00372333	-0.00103603	
0.000851073	-0.00362944	-0.00110331	
0.000874491	-0.00376667	-0.00107003	
0.000844713	-0.00369164	-0.00107062	
0.000856482	-0.00370305	-0.00111157	
0.000894818	-0.00374182	-0.00109077	
0.000872232	-0.00371917	-0.00106159	
0.000863733	-0.0037244	-0.00111602	
0.000841087	-0.00372767	-0.00107829	
0.00088721	-0.00377565	-0.00102962	
0.000837402	-0.0037392	-0.00106521	
0.000826882	-0.0037175	-0.00111567	
0.000828962	-0.00370085	-0.00106391	
0.000847744	-0.00372511	-0.00106545	
0.000871876	-0.00374123	-0.00103669	
0.000915443	-0.00373962	-0.00106581	
0.000913719	-0.00376198	-0.00107555	
0.000926736	-0.00372065	-0.000969062	
0.000895947	-0.00368022	-0.00105368	
0.000885249	-0.00368492	-0.00109701	
0.000911163	-0.00365804	-0.0010352	
0.00085452	-0.0037533	-0.000975717	
0.000921743	-0.00373011	-0.00106664	
0.000869023	-0.00369306	-0.000992951	
0.000875323	-0.00377964	-0.0010172	
0.000797699	-0.00378207	-0.00101684	
0.00085452	-0.0037159	-0.00111228	
0.000887805	-0.00376293	-0.00110134	
0.000863317	-0.00377946	-0.00109112	
0.000889409	-0.00369532	-0.00105582	
0.000932263	-0.00372309	-0.00101381	
0.000819809	-0.00374919	-0.00105291	
0.000820166	-0.00371619	-0.00105778	
0.000824802	-0.00374842	-0.000981363	
0.00091681	-0.00373463	-0.00102367	
0.000887329	-0.00372297	-0.00106682	
0.00092525	-0.0037505	-0.00104566	
0.000891609	-0.00380062	-0.00101815	
0.00087354	-0.00368159	-0.00106331	
0.000934462	-0.0037533	-0.00105333	
0.000887924	-0.00380271	-0.00105814	
0.000881267	-0.00369188	-0.00105071	
0.000835084	-0.00370365	-0.00107223	
0.000796867	-0.0037593	-0.00105743	
0.000884298	-0.00376352	-0.00106325	
0.000820463	-0.00374182	-0.00110687	
0.000912827	-0.00368777	-0.00105927	
0.000876155	-0.00373344	-0.00110461	
0.000861415	-0.00371388	-0.00107145	
0.000870865	-0.00377096	-0.00109148	
0.000896066	-0.00372589	-0.00102926	
0.000878889	-0.00374682	-0.00107341	
0.000894878	-0.00377672	-0.00111537	
0.000908073	-0.0037263	-0.00107823	
0.000827714	-0.0037376	-0.00108827	
0.000889766	-0.00372523	-0.00112	
0.000963586	-0.00372577	-0.00109814	
0.000911698	-0.00376311	-0.00109077	
0.000862485	-0.00376418	-0.0010462	
0.000852321	-0.00368242	-0.00108892	
0.000899454	-0.00373915	-0.00109617	
0.000881326	-0.00373492	-0.00111715	
0.00083978	-0.00370864	-0.0011055	
0.000881326	-0.00372071	-0.00111513	
0.00086403	-0.00371524	-0.00108684	
0.000927389	-0.00373879	-0.00108566	
0.000928638	-0.0036958	-0.0011332	
0.000898206	-0.00383125	-0.00107722	
0.000815767	-0.00382084	-0.00111483	
0.000889826	-0.0036766	-0.00108548	
0.000836511	-0.00369235	-0.00110022	
0.000835382	-0.0036917	-0.00114282	
0.000855412	-0.00370739	-0.00109998	
0.000930361	-0.00369598	-0.00106224	
0.000901356	-0.00374236	-0.00106367	
0.000883406	-0.00374491	-0.00113028	
0.00083556	-0.00370121	-0.00106569	
0.000917642	-0.00376007	-0.00104911	
0.000908489	-0.00373314	-0.00105695	
0.0009284	-0.00371423	-0.00109219	
0.00087455	-0.00373011	-0.00111198	
0.000864149	-0.00366536	-0.00108673	
0.000910093	-0.00373023	-0.00107419	
0.000865873	-0.00368492	-0.00111365	
0.00090522	-0.00371227	-0.00110533	
0.000851964	-0.00369764	-0.0010478	
0.000819571	-0.00374753	-0.00109499	
0.000849527	-0.00365489	-0.00110277	
0.000841622	-0.00369717	-0.00108554	
0.000846496	-0.00370728	-0.00106325	
0.000794727	-0.00361297	-0.00108512	
0.000898028	-0.00366238	-0.0011408	
0.000895353	-0.00378713		
0.000909856	-0.00377161		
0.000943318	-0.00376745		
0.000908489	-0.0036634		
0.000816065	-0.00370609		
0.000866942	-0.00369431		
0.000813449	-0.00372648		
0.000810596	-0.00377399		
